                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.45503,                0.40223,                0.89634,                0.92185,                0.81752,                0.87168,                0.72464,                0.74503,                0.66512,                 1.0476,             5.4917e-05,             5.4917e-05,             5.4917e-05
                     56,                 0.4526,                0.40472,                0.90393,                0.94485,                0.84813,                0.88957,                0.74528,                0.72093,                0.60611,                 1.0315,             5.3749e-05,             5.3749e-05,             5.3749e-05
                     57,                0.46764,                0.39718,                0.90211,                0.94075,                0.82178,                0.89393,                0.74366,                0.71907,                0.60345,                 1.0331,             5.2581e-05,             5.2581e-05,             5.2581e-05
                     58,                0.44941,                0.39742,                 0.8978,                0.93877,                0.80198,                0.88928,                0.74191,                0.73471,                0.68325,                 1.0401,             5.1413e-05,             5.1413e-05,             5.1413e-05
                     59,                0.45657,                0.40225,                0.90267,                0.96276,                0.76788,                0.88275,                0.73964,                0.74064,                0.68337,                 1.0414,             5.0244e-05,             5.0244e-05,             5.0244e-05
                     60,                 0.4301,                0.37505,                0.89046,                0.97589,                0.80137,                0.89337,                0.73206,                0.74634,                0.66936,                 1.0584,             4.9076e-05,             4.9076e-05,             4.9076e-05
                     61,                0.44133,                0.38243,                0.89478,                0.95438,                0.85149,                0.90315,                0.74045,                0.74505,                0.61106,                  1.064,             4.7908e-05,             4.7908e-05,             4.7908e-05
                     62,                0.42622,                0.37694,                0.89557,                0.96527,                0.82555,                0.90075,                0.73358,                0.73675,                0.58448,                 1.0522,              4.674e-05,              4.674e-05,              4.674e-05
                     63,                0.42045,                0.37778,                0.89189,                0.93557,                0.83168,                0.89462,                0.74048,                0.72037,                0.60881,                 1.0458,             4.5572e-05,             4.5572e-05,             4.5572e-05
                     64,                 0.4569,                0.40399,                0.90721,                0.95058,                0.80198,                0.87974,                0.72746,                0.72901,                0.67179,                 1.0591,             4.4403e-05,             4.4403e-05,             4.4403e-05
                     65,                0.40784,                0.35436,                0.89458,                0.93514,                0.80198,                0.87763,                0.73432,                0.71105,                0.69043,                 1.0495,             4.3235e-05,             4.3235e-05,             4.3235e-05
                     66,                 0.4207,                 0.3656,                0.89308,                0.93764,                0.80198,                0.88101,                0.72986,                0.72428,                0.68415,                 1.0505,             4.2067e-05,             4.2067e-05,             4.2067e-05
                     67,                0.42606,                0.36913,                0.89196,                0.94073,                0.80198,                0.88407,                0.73425,                0.71209,                0.63731,                 1.0493,             4.0899e-05,             4.0899e-05,             4.0899e-05
                     68,                0.41717,                0.35881,                0.88099,                0.96469,                0.81145,                0.88948,                0.74053,                0.73396,                 0.6409,                 1.0572,             3.9731e-05,             3.9731e-05,             3.9731e-05
                     69,                0.45654,                0.38508,                0.96865,                0.94864,                0.81188,                 0.8871,                0.73664,                0.73707,                0.62608,                 1.0583,             3.8562e-05,             3.8562e-05,             3.8562e-05
                     70,                0.39375,                0.35085,                0.88583,                 0.9537,                0.82178,                0.89241,                0.74804,                 0.7256,                0.61818,                 1.0563,             3.7394e-05,             3.7394e-05,             3.7394e-05
                     71,                0.41736,                0.36814,                 0.8915,                0.94989,                0.81188,                 0.8935,                0.74311,                0.72008,                0.59442,                 1.0534,             3.6226e-05,             3.6226e-05,             3.6226e-05
                     72,                0.40687,                0.36039,                0.89381,                0.96043,                0.79208,                0.89236,                0.74946,                0.72245,                0.60516,                 1.0588,             3.5058e-05,             3.5058e-05,             3.5058e-05
                     73,                0.39389,                0.34099,                0.88357,                0.96333,                0.78022,                0.88556,                0.74053,                0.72504,                0.64579,                 1.0439,              3.389e-05,              3.389e-05,              3.389e-05
                     74,                0.41233,                0.35947,                 0.8904,                0.92015,                0.79869,                0.88243,                0.73038,                0.73978,                0.66645,                 1.0481,             3.2721e-05,             3.2721e-05,             3.2721e-05
                     75,                0.40046,                0.34647,                0.89006,                0.95287,                0.80073,                0.88489,                0.73651,                0.72952,                0.64946,                 1.0411,             3.1553e-05,             3.1553e-05,             3.1553e-05
                     76,                0.38247,                0.35038,                 0.8883,                0.95037,                0.82178,                0.89155,                0.74358,                0.74513,                0.61124,                  1.042,             3.0385e-05,             3.0385e-05,             3.0385e-05
                     77,                 0.3947,                0.35639,                0.89285,                 0.9646,                0.80928,                0.89489,                0.74178,                0.73616,                0.59462,                 1.0425,             2.9217e-05,             2.9217e-05,             2.9217e-05
                     78,                0.39656,                0.33594,                0.88714,                0.95089,                0.82178,                0.89877,                0.74411,                0.73277,                0.60049,                 1.0435,             2.8049e-05,             2.8049e-05,             2.8049e-05
                     79,                0.39238,                0.35367,                 0.8907,                0.96435,                0.82178,                0.90168,                0.73797,                0.73301,                0.58953,                 1.0395,              2.688e-05,              2.688e-05,              2.688e-05
                     80,                0.39004,                0.33644,                0.87942,                0.95077,                0.80198,                0.90193,                0.74579,                0.72729,                0.58925,                  1.034,             2.5712e-05,             2.5712e-05,             2.5712e-05
                     81,                0.38067,                0.33027,                0.87664,                0.95284,                0.80026,                0.89799,                0.75144,                0.72978,                0.58555,                 1.0355,             2.4544e-05,             2.4544e-05,             2.4544e-05
                     82,                0.38194,                0.33475,                0.88673,                0.91142,                0.81501,                0.89658,                 0.7493,                0.72037,                0.59151,                 1.0354,             2.3376e-05,             2.3376e-05,             2.3376e-05
                     83,                0.40071,                0.34685,                 0.8866,                0.95059,                0.79208,                0.89601,                0.74266,                0.72433,                0.59191,                 1.0354,             2.2208e-05,             2.2208e-05,             2.2208e-05
                     84,                0.38791,                0.34009,                0.87844,                0.95232,                0.79104,                0.89496,                 0.7431,                0.72293,                0.59766,                 1.0362,             2.1039e-05,             2.1039e-05,             2.1039e-05
                     85,                0.38492,                0.34172,                0.88851,                0.91141,                0.81488,                0.89235,                0.74751,                0.72607,                0.60746,                 1.0329,             1.9871e-05,             1.9871e-05,             1.9871e-05
                     86,                0.38429,                0.32297,                0.88587,                 0.9259,                0.81188,                0.89436,                0.75272,                0.72085,                0.58992,                  1.026,             1.8703e-05,             1.8703e-05,             1.8703e-05
                     87,                0.37645,                0.33333,                 0.8846,                0.94237,                0.80949,                0.89484,                0.74808,                 0.7127,                0.58578,                 1.0257,             1.7535e-05,             1.7535e-05,             1.7535e-05
                     88,                 0.3972,                0.32972,                0.88522,                0.91317,                0.83297,                0.89267,                0.75099,                 0.7145,                0.58771,                 1.0359,             1.6367e-05,             1.6367e-05,             1.6367e-05
                     89,                0.37461,                0.32914,                0.88365,                0.90327,                0.83215,                0.89352,                0.74535,                0.73174,                0.59881,                 1.0475,             1.5198e-05,             1.5198e-05,             1.5198e-05
                     90,                0.37859,                 0.3199,                0.87961,                0.94229,                0.80829,                0.89086,                0.74055,                0.73572,                 0.6024,                 1.0494,              1.403e-05,              1.403e-05,              1.403e-05
                     91,                0.36607,                0.35113,                0.86288,                0.88361,                0.82683,                0.88067,                0.72578,                0.74276,                0.62328,                 1.0665,             1.2862e-05,             1.2862e-05,             1.2862e-05
                     92,                0.34187,                0.32681,                0.84502,                0.93553,                0.75248,                0.86701,                0.71176,                0.74146,                0.65024,                 1.0768,             1.1694e-05,             1.1694e-05,             1.1694e-05
                     93,                0.35445,                 0.3303,                0.84072,                0.91638,                0.76238,                0.86551,                0.71019,                0.73997,                0.65686,                 1.0815,             1.0526e-05,             1.0526e-05,             1.0526e-05
                     94,                0.35165,                0.33366,                 0.8482,                0.93818,                0.75129,                0.86547,                 0.7134,                0.73573,                0.64832,                 1.0827,             9.3574e-06,             9.3574e-06,             9.3574e-06
                     95,                0.35002,                0.32541,                 0.8729,                0.93897,                0.76163,                0.86541,                0.71158,                0.74005,                0.65546,                 1.0845,             8.1892e-06,             8.1892e-06,             8.1892e-06
                     96,                0.33664,                0.31934,                0.83659,                0.93897,                0.76169,                0.86717,                0.71361,                0.73707,                0.67068,                   1.08,              7.021e-06,              7.021e-06,              7.021e-06
                     97,                0.31666,                0.30671,                0.83566,                0.90842,                 0.7857,                0.86961,                0.71885,                0.73554,                0.67033,                 1.0769,             5.8528e-06,             5.8528e-06,             5.8528e-06
                     98,                0.33031,                0.31278,                 0.8349,                0.89931,                0.80198,                0.86969,                0.71854,                0.73678,                0.67272,                 1.0761,             4.6846e-06,             4.6846e-06,             4.6846e-06
                     99,                0.33483,                0.32148,                0.86595,                0.96148,                0.74134,                0.86641,                0.71506,                 0.7343,                0.67764,                 1.0724,             3.5164e-06,             3.5164e-06,             3.5164e-06
                    100,                0.32247,                0.32011,                 0.8544,                0.93882,                0.75969,                0.86854,                0.71365,                0.73043,                0.66389,                  1.073,             2.3482e-06,             2.3482e-06,             2.3482e-06
