                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.41422,                0.48777,                0.87938,                0.77451,                0.80821,                0.84053,                0.62408,                 1.0155,                 1.1041,                  1.231,             6.7767e-05,             6.7767e-05,             6.7767e-05
                     45,                0.42608,                0.49236,                 0.8935,                0.92395,                0.71474,                0.83926,                0.61622,                 1.0267,                 1.1074,                 1.2467,             6.6599e-05,             6.6599e-05,             6.6599e-05
                     46,                0.42468,                0.49983,                0.88212,                0.82018,                0.73787,                0.82343,                0.61621,                 1.0344,                 1.1342,                 1.2472,             6.5431e-05,             6.5431e-05,             6.5431e-05
                     47,                 0.4127,                0.47894,                0.89377,                0.83547,                0.74677,                0.82531,                0.62151,                 1.0367,                  1.142,                 1.2436,             6.4263e-05,             6.4263e-05,             6.4263e-05
                     48,                0.41232,                 0.4657,                0.87487,                0.91862,                0.70588,                0.83271,                0.63124,                 1.0338,                 1.1881,                 1.2593,             6.3095e-05,             6.3095e-05,             6.3095e-05
                     49,                0.40503,                0.48822,                0.87608,                0.90932,                0.70588,                0.81926,                0.61075,                 1.0226,                 1.2869,                 1.2589,             6.1926e-05,             6.1926e-05,             6.1926e-05
                     50,                0.39297,                0.47793,                0.86974,                  0.888,                0.69118,                0.80964,                 0.5985,                 1.0175,                 1.2907,                 1.2446,             6.0758e-05,             6.0758e-05,             6.0758e-05
                     51,                0.37955,                0.44658,                0.87459,                0.90553,                0.70484,                0.81744,                0.60853,                 1.0227,                  1.229,                 1.2377,              5.959e-05,              5.959e-05,              5.959e-05
                     52,                0.40884,                0.46279,                0.88497,                0.86477,                0.75239,                0.82976,                0.61845,                 1.0208,                 1.0967,                 1.2307,             5.8422e-05,             5.8422e-05,             5.8422e-05
                     53,                0.40267,                0.45033,                0.86904,                0.85215,                0.76287,                 0.8327,                0.61692,                  1.035,                 1.0824,                  1.242,             5.7254e-05,             5.7254e-05,             5.7254e-05
